#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#group,false,false,true,true,true,true,false,false,true,true,true
#default,_result,,,,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value,name,pid,tid
,,0,files_input_num,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_19991104_20200907_02_T1) (3288),2024-02-14T11:32:48.176523609Z,2024-03-15T11:32:48.176523609Z,2024-03-14T22:03:11.389778058Z,6724,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_19991104_20200907_02_T1) (3288),3724562,3288
,,1,files_input_total_size,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_19991104_20200907_02_T1) (3288),2024-02-14T11:32:48.176523609Z,2024-03-15T11:32:48.176523609Z,2024-03-14T22:03:11.389778058Z,2954472179,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_19991104_20200907_02_T1) (3288),3724562,3288
,,2,files_output_num,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_19991104_20200907_02_T1) (3288),2024-02-14T11:32:48.176523609Z,2024-03-15T11:32:48.176523609Z,2024-03-14T22:06:37.864938645Z,43,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_19991104_20200907_02_T1) (3288),3724562,3288
,,3,files_output_total_size,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_19991104_20200907_02_T1) (3288),2024-02-14T11:32:48.176523609Z,2024-03-15T11:32:48.176523609Z,2024-03-14T22:06:37.864938645Z,77241707,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_19991104_20200907_02_T1) (3288),3724562,3288
,,4,max_cpus,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_19991104_20200907_02_T1) (3288),2024-02-14T11:32:48.176523609Z,2024-03-15T11:32:48.176523609Z,2024-03-14T22:03:13.389243322Z,4,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_19991104_20200907_02_T1) (3288),3724562,3288
,,5,max_mem,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_19991104_20200907_02_T1) (3288),2024-02-14T11:32:48.176523609Z,2024-03-15T11:32:48.176523609Z,2024-03-14T22:03:13.389243322Z,4718592000,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_19991104_20200907_02_T1) (3288),3724562,3288
