#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#group,false,false,true,true,true,true,false,false,true,true,true
#default,_result,,,,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value,name,pid,tid
,,0,files_input_num,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0110_Y0101) (3968),2024-02-15T15:37:43.069200494Z,2024-03-16T15:37:43.069200494Z,2024-03-16T03:21:59.248751549Z,12,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0110_Y0101) (3968),2970960,3968
,,1,files_input_total_size,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0110_Y0101) (3968),2024-02-15T15:37:43.069200494Z,2024-03-16T15:37:43.069200494Z,2024-03-16T03:21:59.248751549Z,66546011,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0110_Y0101) (3968),2970960,3968
,,2,files_output_num,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0110_Y0101) (3968),2024-02-15T15:37:43.069200494Z,2024-03-16T15:37:43.069200494Z,2024-03-16T03:38:43.226161537Z,299,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0110_Y0101) (3968),2970960,3968
,,3,files_output_total_size,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0110_Y0101) (3968),2024-02-15T15:37:43.069200494Z,2024-03-16T15:37:43.069200494Z,2024-03-16T03:38:43.226161537Z,1703072605,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0110_Y0101) (3968),2970960,3968
,,4,max_cpus,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0110_Y0101) (3968),2024-02-15T15:37:43.069200494Z,2024-03-16T15:37:43.069200494Z,2024-03-16T03:22:03.246388471Z,2,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0110_Y0101) (3968),2970960,3968
,,5,max_mem,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0110_Y0101) (3968),2024-02-15T15:37:43.069200494Z,2024-03-16T15:37:43.069200494Z,2024-03-16T03:22:03.246388471Z,2097152000,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0110_Y0101) (3968),2970960,3968
