#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#group,false,false,true,true,true,true,false,false,true,true,true
#default,_result,,,,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value,name,pid,tid
,,0,files_input_num,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_06) (1637),2024-01-24T01:52:35.908351414Z,2024-02-23T01:52:35.908351414Z,2024-02-21T23:24:47.328722701Z,13,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_06) (1637),3447835,1637
,,1,files_input_total_size,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_06) (1637),2024-01-24T01:52:35.908351414Z,2024-02-23T01:52:35.908351414Z,2024-02-21T23:24:47.328722701Z,52904984,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_06) (1637),3447835,1637
,,2,files_output_num,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_06) (1637),2024-01-24T01:52:35.908351414Z,2024-02-23T01:52:35.908351414Z,2024-02-21T23:27:33.938007258Z,31,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_06) (1637),3447835,1637
,,3,files_output_total_size,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_06) (1637),2024-01-24T01:52:35.908351414Z,2024-02-23T01:52:35.908351414Z,2024-02-21T23:27:33.938007258Z,417524,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_06) (1637),3447835,1637
,,4,max_cpus,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_06) (1637),2024-01-24T01:52:35.908351414Z,2024-02-23T01:52:35.908351414Z,2024-02-21T23:24:49.328366005Z,6,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_06) (1637),3447835,1637
,,5,max_mem,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_06) (1637),2024-01-24T01:52:35.908351414Z,2024-02-23T01:52:35.908351414Z,2024-02-21T23:24:49.328366005Z,38654705664,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_06) (1637),3447835,1637
