#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#group,false,false,true,true,true,true,false,false,true,true,true
#default,_result,,,,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value,name,pid,tid
,,0,files_input_num,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.17) (379),2024-01-26T11:18:04.278404381Z,2024-02-25T11:18:04.278404381Z,2024-02-24T23:09:15.676507277Z,8,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.17) (379),2944592,379
,,1,files_input_total_size,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.17) (379),2024-01-26T11:18:04.278404381Z,2024-02-25T11:18:04.278404381Z,2024-02-24T23:09:15.676507277Z,2701285,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.17) (379),2944592,379
,,2,files_output_num,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.17) (379),2024-01-26T11:18:04.278404381Z,2024-02-25T11:18:04.278404381Z,2024-02-24T23:13:02.900080734Z,15,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.17) (379),2944592,379
,,3,files_output_total_size,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.17) (379),2024-01-26T11:18:04.278404381Z,2024-02-25T11:18:04.278404381Z,2024-02-24T23:13:02.900080734Z,26473653,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.17) (379),2944592,379
,,4,max_cpus,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.17) (379),2024-01-26T11:18:04.278404381Z,2024-02-25T11:18:04.278404381Z,2024-02-24T23:09:17.680160554Z,2,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.17) (379),2944592,379
,,5,max_mem,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.17) (379),2024-01-26T11:18:04.278404381Z,2024-02-25T11:18:04.278404381Z,2024-02-24T23:09:17.680160554Z,12884901888,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.17) (379),2944592,379
